name,type,source,address,grow,lat,lon,Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address_2,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Area
Farm.One,Commercial Farm,Stern,"225 Liberty Street Third Floor, New York, NY 10281, USA",Indoor,"40.7128171","-74.0153663",MN,"16","125","101","317.03","1001","02","1","10280",E010,"1","15","8900","1","01",1A,225 LIBERTY STREET,BPC,,,,,,BPC,,,,N,O4,"05","0",X,WFP TOWER B CO LP,"199346","2267925","2267925","0","1999448","117790","12266","56501","0","81920","2","2",44.00000000000,"0","1",489.00000000000,217.00000000000,125.00000000000,125.00000000000,N,"1",Y,"5","2",76950450.00000000000,306092700.00000000000,306092700.00000000000,"1987","2015","0",,,11.38000000000,0.00000000000,0.00000000000,0.00000000000,"1",1000160125.00000000000,"0","031703","980007","198843",12b,,101S090,"10101",,0.00000000000,,"1","1","1",21v2,,40.71245380000,-74.01530500000,,0.00000000000,214096.16653900000
Farm.One,Commercial Farm,Stern,"Fifth Avenue Hotel, 200 5th Ave, New York, NY 10010, USA",Indoor,"40.7419978","-73.989942",MN,"825","31","105","58","1007","02","3","10010",E001,"13","15","5700","1","05",1B,1097 BROADWAY,C5-2,,,,,,,,,,N,O6,"05","0",,200 FIFTH OWNER LLC,"51642","704950","704950","0","586365","96695","0","21890","0","0","2","1",15.00000000000,"0","34",202.58000000000,265.58000000000,202.00000000000,265.00000000000,N,"2",Y,"3","2",15975000.00000000000,153242100.00000000000,0.00000000000,"1909","2012","2008",Ladies' Mile Historic District,INDIVIDUAL LANDMARK,13.65000000000,10.00000000000,10.00000000000,10.00000000000,"1",1008250030.99999988079,"0","0058","987050","209664",8d,,104 001,"10306",R-62,0.00000000000,,"1",,,21v2,t,40.74215540000,-73.98989550000,,0.00000000000,55289.02109780000
Farm.One,Commercial Farm,Stern,"450 W 33rd St, New York, NY 10001, USA",Indoor,"40.7526155","-73.9996513",MN,"729","7503","104","103","1003","02","3","10001",L021,"10","15","5500","1","04",2B,1425 WEST 33RD STREET,C6-4,,,,,,HY,,,,N,R0,,"0",X,450 PARTNERS LLC,"136997","0","0","0","0","0","0","0","0","0","0","1",0.00000000000,"0","0",455.00000000000,302.00000000000,0.00000000000,0.00000000000,N,"0",Y,"0","5",0.00000000000,0.00000000000,0.00000000000,"0","0","0",,,0.00000000000,10.00000000000,10.00000000000,10.00000000000,"1",1007297502.99999988079,"2919","0103","984403","213631",8d,,105S018,"10302",,0.00000000000,,"1",,,21v2,t,40.75304420000,-73.99944780000,,0.00000000000,136996.63926000000
Farmshelf,Commercial Farm,Stern,"Building 128, 19 Morris Ave, Brooklyn, NY 11205, USA",,"40.6992184","-73.9739135",BK,"2023","1","302","543","1007","13","33","11251",E207,"88","36","9300","3","02",,652 KENT AVENUE,M3-1,,,,,,,,,,N,T2,"07","0",C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,"6429961","7064736","7064736","0","0","0","0","0","0","7064736","2","93",15.00000000000,"0","0",4152.00000000000,1992.00000000000,180.00000000000,360.00000000000,N,"0",Y,"5","0",32522850.00000000000,204659100.00000000000,204659100.00000000000,"1958","2004","0",,INDIVIDUAL LANDMARK,1.10000000000,0.00000000000,2.00000000000,0.00000000000,"3",3020230000.99999952316,"0","0543","991801","195129",12d,,303 003,"30705",,0.00000000000,,"1","1","1",21v2,t,40.70225750000,-73.97276680000,,0.00000000000,9997440.46598000079
Farmshelf,Commercial Farm,Stern,"89 E 42nd St, New York, NY 10017, USA",,"40.7527277","-73.97723529999999",MN,"1280","1","105","92","1006","02","4","10017",E021,"14","13","4800","1","05",2B,89 EAST 42ND STREET,C5-3,,,,,,MiD,,,,N,U6,"07","2",X,MIDTOWN TRACKAGE VENTURES LLC,"134203","0","0","0","0","0","0","0","0","0","7","1",0.00000000000,"0","0",394.33000000000,340.33000000000,0.00000000000,0.00000000000,N,"0",N,"3","0",0.00000000000,0.00000000000,0.00000000000,"0","0","0",,INDIVIDUAL AND INTERIOR LANDMARK,0.00000000000,10.00000000000,15.00000000000,15.00000000000,"1",1012800001.00000011921,"0","0092","990545","213485",8d,,104 041,"10503",,1012800001.00000011921,07/09/2020,"1",,,21v2,,40.75264130000,-73.97727940000,,0.00000000000,136882.93383600001
Gotham Greens,Commercial Farm,Stern,"Greenpoint Wood Exchange, 810 Humboldt St, Brooklyn, NY 11222, USA","Indoor, Rooftop","40.7295788","-73.9457219",BK,"2605","1","301","579","2030","14","33","11222",E238,"94","30","300","3","01",1A,247 MESEROLE AVENUE,M1-1,,,,,,,,,,N,F5,"06","0",,GREENPOINT MANUF. AND DESIGN CTR.LOCAL D EV. CORP.,"40000","80000","80000","0","0","0","0","0","80000","0","2","1",2.00000000000,"0","12",200.00000000000,200.00000000000,200.00000000000,200.00000000000,N,"0",N,"3","0",405000.00000000000,1803150.00000000000,435780.00000000000,"1963","0","0",,,2.00000000000,0.00000000000,1.00000000000,2.40000000000,"3",3026050000.99999952316,"0","0579","999317","205113",13a,,304 053,"30902",,0.00000000000,,"1",,,21v2,,40.72965160000,-73.94563740000,,0.00000000000,41397.02201280000
Gotham Greens,Commercial Farm,Stern,"214 3rd St, Brooklyn, NY 11215, USA","Indoor, Rooftop","40.67489279999999","-73.98878789999999",BK,"978","16","306","119","1007","15","39","11215",E239,"78","38","4300","3","06",4C,212 3 STREET,M2-1,,,,,,,,,,N,K8,"05","0",,WFM PROPERTIES BROOKLYN LLC,"90990","75421","75421","0","0","55421","0","0","0","20000","2","1",1.00000000000,"0","1",260.35000000000,305.00000000000,200.00000000000,500.00000000000,,"1",Y,"4","0",6142050.00000000000,14655150.00000000000,8513100.00000000000,"2013","0","0",,,0.83000000000,0.00000000000,2.00000000000,0.00000000000,"3",3009780016.00000047684,"0","0119","987308","185166",16c,,301 057,"30402",,3009780016.00000047684,01/29/2014,"1","1","1",21v2,,40.67491410000,-73.98897560000,,0.00000000000,91773.45737500000
Gotham Greens,Commercial Farm,Stern,"184-60 Jamaica Ave, Queens, NY 11423, USA","Indoor, Rooftop","40.7090807","-73.7744455",QN,"10352","79","412","444","3001","29","27","11423",L127,"103","44","3510","4","12",2D,184-10 JAMAICA AVENUE,M1-2,,,,,,,,,,N,E9,"06","0",,JAMAICA AVENUE OWNER LLC,"57100","226605","226605","0","39917","0","0","0","186688","0","2","2",5.00000000000,"0","16",188.08000000000,306.00000000000,140.42000000000,283.17000000000,N,"0",Y,"5","0",1284750.00000000000,5237100.00000000000,0.00000000000,"1920","0","0",,,3.97000000000,0.00000000000,2.00000000000,4.80000000000,"4",4103520079.00000047684,"0","0444","1046747","197636",15b,,407 007,"44504",,0.00000000000,,"1",,,21v2,,40.70892120000,-73.77457720000,,0.00000000000,60139.44083240000
Green Bronx Machine,Non-commercial Farm,Stern,"4422 Grace Ave, Bronx, NY 10466, USA",Indoor,"40.89966","-73.8478669",BX,"5093","16","212","444","1001","11","12","10466",E063,"47","24","520","2","12",5C,4420 GRACE AVENUE,R4A,,,,,,,,,,N,A1,"01","0",,BAKER BARBARA,"2435","1152","0","1152","0","0","0","0","0","0","2","2",2.00000000000,"1","1",25.00000000000,97.42000000000,16.00000000000,32.00000000000,G,"1",N,"5","2",8940.00000000000,26700.00000000000,1440.00000000000,"1925","0","0",,,0.47000000000,0.75000000000,0.00000000000,2.00000000000,"2",2050930016.00000000000,"0","0444","1026312","267074",2a,,222 014,"21709",,0.00000000000,,"1",,,21v2,,40.89962970000,-73.84784970000,,0.00000000000,2420.23867087000
Green Food Solutions,Commercial Farm,Stern,"4 Noll St, Brooklyn, NY 11206, USA",Rooftop,"40.70002170000001","-73.9354384",BK,"3151","128","304","391","1003","32","34","11206",E218,"83","34","1710","3","04",1A,16 NOLL STREET,R7-2,,,,,,,,,,N,B1,"01","0",,"WEI, REN MIN","1988","2108","0","2108","0","0","0","0","0","0","2","1",2.00000000000,"2","2",21.50000000000,95.15000000000,21.50000000000,49.00000000000,N,"2",N,"5","2",14760.00000000000,74280.00000000000,25248.00000000000,"2004","0","0",,,1.06000000000,3.44000000000,0.00000000000,6.50000000000,"3",3031510128.00000047684,"0","0391","1002151","194311",13b,,309 008,"31101",,3031510028.00000000000,11/26/2004,"1",,,21v2,,40.69999740000,-73.93544090000,,0.00000000000,2114.14402819000
